type,label,value
species,Carpobrotus virescens,3703298
species,Chenopodium preissii subsp. obovatum,7792804
species,Ptilotus clivicola,9599949
species,Ptilotus declinatus,5548748
species,Ptilotus drummondii,7323831
species,Ptilotus manglesii,5548486
species,Ptilotus polystachyus,7323220
species,Actinotus leucocephalus,6026829
species,Platysace juncea,3633452
species,Platysace xerophila,3633223
species,Xanthosia huegelii,5539954
species,Xanthosia tomentosa,5539875
species,Hydrocotyle hispidula,6027014
species,Hydrocotyle lemnoides,3637037
species,Trachymene coerulea,6026479
species,Trachymene pilosa,6026369
species,Acanthocarpus preissii,2772861
species,Laxmannia grandiflora subsp. grandiflora,7228138
species,Laxmannia omnifertilis,2770346
species,Laxmannia ramosa subsp. ramosa,7070004
species,Laxmannia sessiliflora,2770362
species,Lomandra collina,2770957
species,Lomandra hastilis,2770940
species,Lomandra hermaphrodita,2770891
species,Lomandra preissii,2771004
species,Lomandra suaveolens,2770887
species,Thysanotus arenarius,5304125
species,Thysanotus dichotomus,5304087
species,Thysanotus manglesianus,5304060
species,Thysanotus patersonii,5304110
species,Thysanotus sparteus,5304078
species,Thysanotus spiniger,5304134
species,Thysanotus tenellus,5304118
species,Thysanotus teretifolius,5304055
species,Thysanotus thyrsoideus,5304081
species,Thysanotus triandrus,5304062
species,Thysanotus vernalis,5304097
species,Arnocrinum gracillimum,2770465
species,Arnocrinum preisii,2770468
species,Chamaescilla corymbosa,2772832
species,Chamaescilla corymbosa var. latifolia,2772836
species,Corynotheca micrantha,7319915
species,Dianella revoluta,5305191
species,Hensmania stoniella,2773880
species,Johnsonia pubescens,2781123
species,Johnsonia pubescens subsp. pubescens,7069947
species,Stawellia dimorphantha,2780616
species,Tricoryne elatior,2779140
species,Tricoryne humilis,2779150
species,Tricoryne tenella,2779148
species,Xanthorrhoea acanthostachya,2779414
species,Xanthorrhoea drummondii,2779410
species,Actinobole uliginosum,3130497
species,Arctotheca calendula,12351133
species,Blennospora drummondii,3117080
species,Brachyscome ciliaris,3144591
species,Centaurea melitensis,3128091
species,Gnephosis angianthoides,3117306
species,Gnephosis tenuissima,3117320
species,Hyalosperma cotula,3130632
species,Hypochaeris glabra,3093911
species,Lagenophora huegelii,3142121
species,Millotia myosotidifolia,5388764
species,Podolepis aristata,6064122
species,Podolepis gracilis,3100346
species,Podotheca angustifolia,4224262
species,Podotheca chrysantha,3131105
species,Podotheca gnaphalioides,3131106
species,Pterochaeta paniculata,5402605
species,Siemssenia capillaris,3130160
species,Siloxerus filifolius,3100659
species,Siloxerus humifusus,3100666
species,Sonchus oleraceus,8228544
species,Ursinia anthemoides,3089033
species,Waitzia acuminata,5396208
species,Waitzia podolepis,7892152
species,Borya sphaerocephala,2860799
species,Coincya tournefortii,3690903
species,Raphanus raphanistrum,3040983
species,Byblis lamellata,5635105
species,Isotoma hypocrateriformis,5412359
species,Lobelia heterophylla,5408368
species,Lobelia rarifolia,5407821
species,Lobelia rhytidosperma,5408365
species,Wahlenbergia capensis,5413612
species,Wahlenbergia gracilenta,5413606
species,Polycarpon tetraphyllum,3085381
species,Allocasuarina campestris,2891864
species,Allocasuarina humilis,2891890
species,Allocasuarina lehmanniana,2891855
species,Allocasuarina microstachya,2891857
species,Stackhousia dielsii,5553293
species,Tripterococcus brunonis,3698194
species,Burchardia congesta,2740397
species,Crassula colorata,7334348
species,Callitris acuminata,2684113
species,Callitris arenaria,8266886
species,Callitris pyramidalis,8064537
species,Ammothryon grandiflorum,12374624
species,Caustis dioica,2718179
species,Gahnia trifida,2710070
species,Lepidosperma costale,2731169
species,Lepidosperma pruinosum,2731210
species,Lepidosperma pubisquameum,2731194
species,Lepidosperma scabrum,2731163
species,Lepidosperma sieberi,7647450
species,Lepidosperma tenue,2731167
species,Mesomelaena preissii,5291383
species,Mesomelaena pseudostygia,5291372
species,Mesomelaena stygia subsp. deflexa,5291379
species,Mesomelaena tetragona,5291375
species,Morelotia microcarpa,2718397
species,Morelotia octandra,2718503
species,Schoenus andrewsii,2709755
species,Schoenus brevisetis,2709952
species,Schoenus caespititius,2709884
species,Schoenus clandestinus,2709837
species,Schoenus curvifolius,2710010
species,Schoenus griffinianus,2709880
species,Schoenus insolitus,2709860
species,Schoenus nanus,2709842
species,Schoenus pedicellatus,2709780
species,Schoenus pleiostemoneus,2709913
species,Schoenus rigens,2709899
species,Schoenus subfascicularis,2709858
species,Schoenus subflavus,2709750
species,Schoenus unispiculatus,2709946
species,Calectasia hispida,2763172
species,Calectasia narragara,2763171
species,Calectasia palustris,2763161
species,Dasypogon obliquifolius,5303306
species,Hibbertia acerosa,7304083
species,Hibbertia crassifolia,5681141
species,Hibbertia fasciculiflora,7392717
species,Hibbertia huegelii,7304081
species,Hibbertia hypericoides,7304067
species,Hibbertia hypericoides subsp. hypericoides,10291284
species,Hibbertia hypericoides subsp. septentrionalis,9846494
species,Hibbertia leptotheca,10816306
species,Hibbertia propinqua,7715079
species,Hibbertia sericosepala,8416152
species,Hibbertia spicata,7304035
species,Hibbertia striata,9009178
species,Hibbertia subglabra,10797451
species,Hibbertia subvaginata,5681032
species,Drosera atrata,3190721
species,Drosera barbigera,3191209
species,Drosera coomallo,10681816
species,Drosera drummondii,3191092
species,Drosera echinoblastus,3191195
species,Drosera eneabba,3191085
species,Drosera erythrorhiza,3190994
species,Drosera glanduligera,3190912
species,Drosera humilis,3191120
species,Drosera magna,10965546
species,Drosera menziesii,3191086
species,Drosera porrecta,3191118
species,Drosera ramellosa,3190755
species,Drosera spilos,3191196
species,Drosera thysanosepala,3191089
species,Ecdeiocolea monostachya,2693407
species,Georgeantha hexandra,2693405
species,Tetratheca confertifolia,8334689
species,Tetratheca nephelioides,7683649
species,Andersonia heterophylla,7656622
species,Conostephium magnum,4010558
species,Conostephium pendulum,4010474
species,Conostephium preissii,4010443
species,Leucopogon grammatus,9237795
species,Leucopogon inflexus,9251252
species,Leucopogon oldfieldii,4010989
species,Leucopogon prolatus,9372683
species,Leucopogon stenophyllus,9284893
species,Lysinema pentapetalum,4010169
species,Styphelia carolineae,11726795
