sources,is_weed,verbatim_name,wcvp_taxon_name,wcvp_author,wcvp_rank,wcvp_taxon_status,wcvp_taxonid,wcvp_accepted_name,wcvp_accepted_author,wcvp_accepted_taxonid,wcvp_family,wcvp_match_type,wcvp_match_score,gbif_usage_key,gbif_scientific_name,gbif_canonical_name,gbif_authorship,gbif_rank,gbif_status,gbif_match_type,gbif_confidence,gbif_accepted_key,gbif_accepted_name,gbif_accepted_authorship,gbif_kingdom,gbif_phylum,gbif_class,gbif_order,gbif_family,gbif_genus,gbif_species,gbif_species_key
riviera_2021_restecol,False,Carpobrotus virescens agg.,Carpobrotus virescens,(Haw.) Schwantes,Species,Accepted,2701269,Carpobrotus virescens,(Haw.) Schwantes,2701269,Aizoaceae,exact,100,3703298,Carpobrotus virescens (Haw.) Schwantes,Carpobrotus virescens,(Haw.) Schwantes,SPECIES,ACCEPTED,EXACT,100,3703298,Carpobrotus virescens (Haw.) Schwantes,(Haw.) Schwantes,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus,Carpobrotus virescens,3703298
tsakalos_2018_applvegsci,False,Chenopodium preissii subsp. obovatum,Chenopodium preissii subsp. obovatum,(Moq.) S.Fuentes & Borsch,Subspecies,Accepted,2913650,Chenopodium preissii subsp. obovatum,(Moq.) S.Fuentes & Borsch,2913650,Amaranthaceae,exact,100,7792804,Chenopodium preissii subsp. obovatum (Moq.) S.Fuentes & Borsch,Chenopodium preissii obovatum,(Moq.) S.Fuentes & Borsch,SUBSPECIES,ACCEPTED,EXACT,100,7792804,Chenopodium preissii subsp. obovatum (Moq.) S.Fuentes & Borsch,(Moq.) S.Fuentes & Borsch,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,Chenopodium preissii,3757274
dbca_2025_tpfl|inaturalist_eneabba,False,Ptilotus clivicola,Ptilotus clivicola,R.W.Davis & T.Hammer,Species,Accepted,3002980,Ptilotus clivicola,R.W.Davis & T.Hammer,3002980,Amaranthaceae,exact,100,9599949,Ptilotus clivicolus R.W.Davis & T.Hammer,Ptilotus clivicolus,R.W.Davis & T.Hammer,SPECIES,ACCEPTED,FUZZY,100,9599949,Ptilotus clivicolus R.W.Davis & T.Hammer,R.W.Davis & T.Hammer,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Ptilotus,Ptilotus clivicolus,9599949
tsakalos_2018_applvegsci,False,Ptilotus declinatus,Ptilotus declinatus,Nees,Species,Accepted,2408308,Ptilotus declinatus,Nees,2408308,Amaranthaceae,exact,100,5548748,Ptilotus declinatus Nees,Ptilotus declinatus,Nees,SPECIES,ACCEPTED,EXACT,100,5548748,Ptilotus declinatus Nees,Nees,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Ptilotus,Ptilotus declinatus,5548748
tsakalos_2018_applvegsci,False,Ptilotus drummondii,Ptilotus drummondii,(Moq.) F.Muell.,Species,Accepted,2408359,Ptilotus drummondii,(Moq.) F.Muell.,2408359,Amaranthaceae,exact,100,7323831,Ptilotus drummondii (Moq.) F.Muell.,Ptilotus drummondii,(Moq.) F.Muell.,SPECIES,ACCEPTED,EXACT,100,7323831,Ptilotus drummondii (Moq.) F.Muell.,(Moq.) F.Muell.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Ptilotus,Ptilotus drummondii,7323831
tsakalos_2018_applvegsci,False,Ptilotus manglesii,Ptilotus manglesii,(Lindl.) F.Muell.,Species,Accepted,2408068,Ptilotus manglesii,(Lindl.) F.Muell.,2408068,Amaranthaceae,exact,100,5548486,Ptilotus manglesii (Lindl.) F.Muell.,Ptilotus manglesii,(Lindl.) F.Muell.,SPECIES,ACCEPTED,EXACT,100,5548486,Ptilotus manglesii (Lindl.) F.Muell.,(Lindl.) F.Muell.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Ptilotus,Ptilotus manglesii,5548486
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Ptilotus polystachyus,Ptilotus polystachyus,(Gaudich.) F.Muell.,Species,Accepted,2408089,Ptilotus polystachyus,(Gaudich.) F.Muell.,2408089,Amaranthaceae,exact,100,7323220,Ptilotus polystachyus (Gaudich.) F.Muell.,Ptilotus polystachyus,(Gaudich.) F.Muell.,SPECIES,ACCEPTED,EXACT,100,7323220,Ptilotus polystachyus (Gaudich.) F.Muell.,(Gaudich.) F.Muell.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Ptilotus,Ptilotus polystachyus,7323220
tsakalos_2018_applvegsci,False,Actinotus leucocephalus,Actinotus leucocephalus,Benth.,Species,Accepted,2621052,Actinotus leucocephalus,Benth.,2621052,Apiaceae,exact,100,6026829,Actinotus leucocephalus Benth.,Actinotus leucocephalus,Benth.,SPECIES,ACCEPTED,EXACT,100,6026829,Actinotus leucocephalus Benth.,Benth.,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Actinotus,Actinotus leucocephalus,6026829
tsakalos_2018_applvegsci,False,Platysace juncea,Platysace juncea,(Bunge) C.Norman,Species,Accepted,2403648,Platysace juncea,(Bunge) C.Norman,2403648,Apiaceae,exact,100,3633452,Platysace juncea (Bunge) C.Norman,Platysace juncea,(Bunge) C.Norman,SPECIES,ACCEPTED,EXACT,100,3633452,Platysace juncea (Bunge) C.Norman,(Bunge) C.Norman,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Platysace,Platysace juncea,3633452
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Platysace xerophila,Platysace xerophila,(E.Pritz.) L.A.S.Johnson,Species,Accepted,2403647,Platysace xerophila,(E.Pritz.) L.A.S.Johnson,2403647,Apiaceae,exact,100,3633223,Platysace xerophila (E.Pritz.) L.A.S.Johnson,Platysace xerophila,(E.Pritz.) L.A.S.Johnson,SPECIES,ACCEPTED,EXACT,100,3633223,Platysace xerophila (E.Pritz.) L.A.S.Johnson,(E.Pritz.) L.A.S.Johnson,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Platysace,Platysace xerophila,3633223
